Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    FPGA_INT_ERROR, Signal Layers Only, 0mm
    FPGA_LVDS_RXC_N, Signal Layers Only, 0mm
    FPGA_LVDS_RXC_P, Signal Layers Only, 0mm
    FPGA_LVDS_RXD_N, Signal Layers Only, 0mm
    FPGA_LVDS_RXD_P, Signal Layers Only, 0mm
    FPGA_LVDS_TXC_N, Signal Layers Only, 0mm
    FPGA_LVDS_TXC_P, Signal Layers Only, 0mm
    FPGA_LVDS_TXD_N, Signal Layers Only, 0mm
    FPGA_LVDS_TXD_P, Signal Layers Only, 0mm
    FPGA_SPARE_IN1, Signal Layers Only, 0mm
    FPGA_SPARE_IN2, Signal Layers Only, 0mm
    FPGA_SPI_RX_AVAIL, Signal Layers Only, 0mm
    FPGA_SPI_RX_CLK, Signal Layers Only, 0mm
    FPGA_SPI_RX_CSN, Signal Layers Only, 0mm
    FPGA_SPI_RX_MISO, Signal Layers Only, 0mm
    FPGA_SPI_RX_MOSI, Signal Layers Only, 0mm
    FPGA_SPI_TX_CLK, Signal Layers Only, 0mm
    FPGA_SPI_TX_CSN, Signal Layers Only, 0mm
    FPGA_SPI_TX_MISO, Signal Layers Only, 0mm
    FPGA_SPI_TX_MOSI, Signal Layers Only, 0mm
    FPGA_SPI_TX_READY, Signal Layers Only, 0mm
    FPGA_UART_RX, Signal Layers Only, 0mm
    FPGA_UART_TX, Signal Layers Only, 0mm
    FPGA_USER_BUTTON, Signal Layers Only, 0mm
    FPGA_nRST_BUTTON, Signal Layers Only, 0mm
    GND, Signal Layers Only, 0mm
    GOM_VBAT, Signal Layers Only, 0mm
    I2C_SCL_EXP_PC104, Signal Layers Only, 0mm
    I2C_SDA_EXP_PC104, Signal Layers Only, 0mm
