Net Status Report
Filename     : D:\PAY_IFB\hw\HW\PAY_IFB\2_PAY_IFP_V2\SpaceLiin_Satellite_4U_IFP_HW_2.0.0\01_DESIGN\BEE-1012 PAY-IF V1.1.0.PcbDoc
Date         : 29-Mar-26
Time         : 4:10:33 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    VLDO2, Signal Layers Only, 0mm
    WKUP, Signal Layers Only, 3.1889mm
    XIN, Signal Layers Only, 11.0542mm
    XIN32, Signal Layers Only, 15.18mm
    XIN_24M, Signal Layers Only, 6.3135mm
    XOUT, Signal Layers Only, 22.1718mm
    XOUT32, Signal Layers Only, 7.9242mm
    XOUT_24M, Signal Layers Only, 16.9544mm
    _PA0, Signal Layers Only, 0mm
    _PA1, Signal Layers Only, 6.7832mm
    _PA10, Signal Layers Only, 8.0067mm
    _PA11, Signal Layers Only, 6.7684mm
    _PA12, Signal Layers Only, 0mm
    _PA13, Signal Layers Only, 0mm
    _PA14, Signal Layers Only, 0mm
    _PA17, Signal Layers Only, 7.6847mm
    _PA18, Signal Layers Only, 4.5518mm
    _PA19, Signal Layers Only, 0mm
    _PA2, Signal Layers Only, 11.3361mm
    _PA20, Signal Layers Only, 0mm
    _PA21, Signal Layers Only, 0mm
    _PA22, Signal Layers Only, 4.5521mm
    _PA26, Signal Layers Only, 5.2019mm
    _PA27, Signal Layers Only, 5.1722mm
    _PA28, Signal Layers Only, 7.5757mm
    _PA29, Signal Layers Only, 5.1998mm
    _PA3, Signal Layers Only, 0mm
    _PA31, Signal Layers Only, 4.4205mm
    _PA4, Signal Layers Only, 13.4208mm
    _PA5, Signal Layers Only, 3.6926mm
    _PA6, Signal Layers Only, 0mm
    _PA7, Signal Layers Only, 0mm
    _PA8, Signal Layers Only, 4.8932mm
    _PA9, Signal Layers Only, 4.3366mm
    _PB0, Signal Layers Only, 5.703mm
    _PB1, Signal Layers Only, 0mm
    _PB10, Signal Layers Only, 0mm
    _PB11, Signal Layers Only, 3.4995mm
    _PB12, Signal Layers Only, 7.903mm
    _PB13, Signal Layers Only, 11.0531mm
    _PB14, Signal Layers Only, 0mm
    _PB15, Signal Layers Only, 0mm
    _PB16, Signal Layers Only, 0mm
    _PB17, Signal Layers Only, 0mm
    _PB18, Signal Layers Only, 0mm
    _PB19, Signal Layers Only, 0mm
    _PB2, Signal Layers Only, 0mm
    _PB28, Signal Layers Only, 9.3165mm
    _PB29, Signal Layers Only, 7.9741mm
    _PB3, Signal Layers Only, 0mm
    _PB30, Signal Layers Only, 3.4368mm
    _PB31, Signal Layers Only, 3.1546mm
    _PB4, Signal Layers Only, 4.4119mm
    _PB5, Signal Layers Only, 9.8098mm
    _PB6, Signal Layers Only, 11.5078mm
    _PB8, Signal Layers Only, 12.5246mm
    _PB9, Signal Layers Only, 8.7115mm
    _PC0, Signal Layers Only, 4.3438mm
    _PC1, Signal Layers Only, 8.0212mm
    _PC10, Signal Layers Only, 11.9771mm
    _PC11, Signal Layers Only, 10.3384mm
    _PC12, Signal Layers Only, 5.2491mm
    _PC13, Signal Layers Only, 8.8236mm
    _PC14, Signal Layers Only, 6.9357mm
    _PC15, Signal Layers Only, 3.4174mm
    _PC16, Signal Layers Only, 6.9078mm
    _PC17, Signal Layers Only, 5.7513mm
    _PC18, Signal Layers Only, 0mm
    _PC19, Signal Layers Only, 0mm
    _PC2, Signal Layers Only, 4.068mm
    _PC20, Signal Layers Only, 0mm
    _PC21, Signal Layers Only, 0mm
    _PC22, Signal Layers Only, 0mm
    _PC23, Signal Layers Only, 0mm
    _PC24, Signal Layers Only, 0mm
    _PC3, Signal Layers Only, 4.3662mm
    _PC4, Signal Layers Only, 9.6394mm
    _PC5, Signal Layers Only, 5.7033mm
    _PC7, Signal Layers Only, 8.2223mm
    _PC8, Signal Layers Only, 4.1369mm
    _PC9, Signal Layers Only, 4.7665mm
    _PD00, Signal Layers Only, 7.298mm
    _PD01, Signal Layers Only, 8.8491mm
    _PD11, Signal Layers Only, 0mm
    _PD12, Signal Layers Only, 8.3168mm
    _PD13, Signal Layers Only, 17.027mm
    _PD14, Signal Layers Only, 7.2421mm
    _PD15, Signal Layers Only, 7.6671mm
    _PD16, Signal Layers Only, 8.7672mm
    _PD17, Signal Layers Only, 0mm
    _PD18, Signal Layers Only, 0mm
    _PD19, Signal Layers Only, 10.6732mm
    _PD20, Signal Layers Only, 4.2714mm
    _PD28, Signal Layers Only, 10.062mm
    _PD30, Signal Layers Only, 0mm
    _PD31, Signal Layers Only, 7.5415mm
    _PE0, Signal Layers Only, 0mm
    _PE1, Signal Layers Only, 10.0282mm
    _PE2, Signal Layers Only, 3.3721mm
    _PE3, Signal Layers Only, 4.7247mm
    _PE4, Signal Layers Only, 5.4651mm
    _PE5, Signal Layers Only, 4.0451mm
    _PE6, Signal Layers Only, 8.1068mm
    _PE7, Signal Layers Only, 7.3239mm
    eFUSE_ILIM_5V_FPGA, Signal Layers Only, 0mm
count : 588
