# Package Migration - Certus-NX CSFBGA121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 31-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 14-Mar-2025,,Updated the -40 and -28 pinouts information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFD2NX-40,,,,,,,,LFD2NX-28,,,,,,,,LFD2NX-17,,,,,,,,LFD2NX-9,,,,,,
Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED
J10,PB24A,4,BDQ22,PCLKT4_2,True_OF_PB24B,TRUE,,J10,PB24A,4,BDQ22,PCLKT4_2,True_OF_PB24B,TRUE,,J10,PB48A,4,BDQ46,PCLKT4_2,True_OF_PB48B,TRUE,,J10,PB48A,4,BDQ46,PCLKT4_2,True_OF_PB48B,TRUE
J11,PB24B,4,BDQ22,PCLKC4_2,Comp_OF_PB24A,TRUE,,J11,PB24B,4,BDQ22,PCLKC4_2,Comp_OF_PB24A,TRUE,,J11,PB48B,4,BDQ46,PCLKC4_2,Comp_OF_PB48A,TRUE,,J11,PB48B,4,BDQ46,PCLKC4_2,Comp_OF_PB48A,TRUE
J2,PB74B,3,BDQ76,PCLKC3_3/ADC_CN14,Comp_OF_PB74A,TRUE,,J2,PB74B,3,BDQ76,PCLKC3_3/ADC_CN14,Comp_OF_PB74A,TRUE,,J2,PB68B,3,BDQ62,PCLKC3_3/ADC_CN14,Comp_OF_PB68A,TRUE,,J2,PB68B,3,BDQ62,PCLKC3_3/ADC_CN14,Comp_OF_PB68A,TRUE
J3,VSS,-,-,-,-,-,,J3,VSS,-,-,-,-,-,,J3,VSS,-,-,-,-,-,,J3,VSS,-,-,-,-,-
J4,PB72B,3,BDQ76,PCLKC3_2/ADC_CN13,Comp_OF_PB72A,TRUE,,J4,PB72B,3,BDQ76,PCLKC3_2/ADC_CN13,Comp_OF_PB72A,TRUE,,J4,PB66B,3,BDQ62,PCLKC3_2/ADC_CN13,Comp_OF_PB66A,TRUE,,J4,PB66B,3,BDQ62,PCLKC3_2/ADC_CN13,Comp_OF_PB66A,TRUE
J5,PB68A,3,BDQ60,ADC_CP8,True_OF_PB68B,TRUE,,J5,PB68A,3,BDQ60,ADC_CP8,True_OF_PB68B,TRUE,,J5,PB64A,3,BDQ62,ADC_CP8,True_OF_PB64B,TRUE,,J5,PB64A,3,BDQ62,ADC_CP8,True_OF_PB64B,TRUE
J6,VCCIO3,3,-,-,-,-,,J6,VCCIO3,3,-,-,-,-,,J6,VCCIO3,3,-,-,-,-,,J6,VCCIO3,3,-,-,-,-
J7,PB18B,4,BDQ22,PCLKC4_3,Comp_OF_PB18A,TRUE,,J7,PB18B,4,BDQ22,PCLKC4_3,Comp_OF_PB18A,TRUE,,J7,PB42B,4,BDQ46,PCLKC4_3,Comp_OF_PB42A,TRUE,,J7,PB42B,4,BDQ46,PCLKC4_3,Comp_OF_PB42A,TRUE
J8,PB18A,4,BDQ22,PCLKT4_3,True_OF_PB18B,TRUE,,J8,PB18A,4,BDQ22,PCLKT4_3,True_OF_PB18B,TRUE,,J8,PB42A,4,BDQ46,PCLKT4_3,True_OF_PB42B,TRUE,,J8,PB42A,4,BDQ46,PCLKT4_3,True_OF_PB42B,TRUE
J9,VCCIO4,4,-,-,-,-,,J9,VCCIO4,4,-,-,-,-,,J9,VCCIO4,4,-,-,-,-,,J9,VCCIO4,4,-,-,-,-
K1,PB80B,3,BDQ76,ADC_CN12,Comp_OF_PB80A,TRUE,,K1,PB80B,3,BDQ76,ADC_CN12,Comp_OF_PB80A,TRUE,,K1,ADC_REFP0,70,-,-,-,FALSE,,K1,ADC_REFP0,70,-,-,-,FALSE
K10,PB16A,4,BDQ22,VREF4_1,True_OF_PB16B,TRUE,,K10,PB16A,4,BDQ22,VREF4_1,True_OF_PB16B,TRUE,,K10,PB40A,4,BDQ46,VREF4_1,True_OF_PB40B,TRUE,,K10,PB40A,4,BDQ46,VREF4_1,True_OF_PB40B,TRUE
K11,PB16B,4,BDQ22,-,Comp_OF_PB16A,TRUE,,K11,PB16B,4,BDQ22,-,Comp_OF_PB16A,TRUE,,K11,PB40B,4,BDQ46,-,Comp_OF_PB40A,TRUE,,K11,PB40B,4,BDQ46,-,Comp_OF_PB40A,TRUE
K2,PB80A,3,BDQ76,ADC_CP12,True_OF_PB80B,TRUE,,K2,PB80A,3,BDQ76,ADC_CP12,True_OF_PB80B,TRUE,,K2,ADC_REFP1,70,-,-,-,FALSE,,K2,ADC_REFP1,70,-,-,-,FALSE
K3,VCCIO3,3,-,-,-,-,,K3,VCCIO3,3,-,-,-,-,,K3,VCCIO3,3,-,-,-,-,,K3,VCCIO3,3,-,-,-,-
K4,PB68B,3,BDQ60,ADC_CN8,Comp_OF_PB68A,TRUE,,K4,PB68B,3,BDQ60,ADC_CN8,Comp_OF_PB68A,TRUE,,K4,PB64B,3,BDQ62,ADC_CN8,Comp_OF_PB64A,TRUE,,K4,PB64B,3,BDQ62,ADC_CN8,Comp_OF_PB64A,TRUE
K5,PB64A,3,BDQ60,ADC_CP4,True_OF_PB64B,TRUE,,K5,PB64A,3,BDQ60,ADC_CP4,True_OF_PB64B,TRUE,,K5,PB58A,3,BDQ62,ADC_CP7,True_OF_PB58B,TRUE,,K5,PB58A,3,BDQ62,ADC_CP7,True_OF_PB58B,TRUE
K6,PB64B,3,BDQ60,ADC_CN4,Comp_OF_PB64A,TRUE,,K6,PB64B,3,BDQ60,ADC_CN4,Comp_OF_PB64A,TRUE,,K6,PB58B,3,BDQ62,ADC_CN7,Comp_OF_PB58A,TRUE,,K6,PB58B,3,BDQ62,ADC_CN7,Comp_OF_PB58A,TRUE
K7,PB66A,3,BDQ60,COMP1IP,True_OF_PB66B,TRUE,,K7,PB66A,3,BDQ60,COMP1IP,True_OF_PB66B,TRUE,,K7,PB56A,3,BDQ62,PCLKT3_0/VREF3_1/ADC_CP5,True_OF_PB56B,TRUE,,K7,PB56A,3,BDQ62,PCLKT3_0/VREF3_1/ADC_CP5,True_OF_PB56B,TRUE
K8,PB26B,4,BDQ22,-,Comp_OF_PB26A,TRUE,,K8,PB26B,4,BDQ22,-,Comp_OF_PB26A,TRUE,,K8,PB52B,4,BDQ46,PCLKC4_1,Comp_OF_PB52A,TRUE,,K8,PB52B,4,BDQ46,PCLKC4_1,Comp_OF_PB52A,TRUE
K9,PB30B,4,BDQ22,-,Comp_OF_PB30A,TRUE,,K9,PB30B,4,BDQ22,-,Comp_OF_PB30A,TRUE,,K9,PB50B,4,BDQ46,-,Comp_OF_PB50A,TRUE,,K9,PB50B,4,BDQ46,-,Comp_OF_PB50A,TRUE
L1,PB84B,3,BDQ76,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB84A,TRUE,,L1,PB84B,3,BDQ76,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB84A,TRUE,,L1,PB70B,3,BDQ62,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB70A,TRUE,,L1,PB70B,3,BDQ62,LRC_GPLL0C_IN/VREF3_2,Comp_OF_PB70A,TRUE
L10,PB22A,4,BDQS22,-,True_OF_PB22B,TRUE,,L10,PB22A,4,BDQS22,-,True_OF_PB22B,TRUE,,L10,PB46A,4,BDQS46,-,True_OF_PB46B,TRUE,,L10,PB46A,4,BDQS46,-,True_OF_PB46B,TRUE
L11,PB22B,4,BDQSN22,-,Comp_OF_PB22A,TRUE,,L11,PB22B,4,BDQSN22,-,Comp_OF_PB22A,TRUE,,L11,PB46B,4,BDQSN46,-,Comp_OF_PB46A,TRUE,,L11,PB46B,4,BDQSN46,-,Comp_OF_PB46A,TRUE
L2,PB84A,3,BDQ76,LRC_GPLL0T_IN,True_OF_PB84B,TRUE,,L2,PB84A,3,BDQ76,LRC_GPLL0T_IN,True_OF_PB84B,TRUE,,L2,PB70A,3,BDQ62,LRC_GPLL0T_IN,True_OF_PB70B,TRUE,,L2,PB70A,3,BDQ62,LRC_GPLL0T_IN,True_OF_PB70B,TRUE
L3,PB76B,3,BDQSN76,COMP3IN,Comp_OF_PB76A,TRUE,,L3,PB76B,3,BDQSN76,COMP3IN,Comp_OF_PB76A,TRUE,,L3,NC,-,-,-,-,-,,L3,NC,-,-,-,-,-
L4,PB76A,3,BDQS76,COMP3IP,True_OF_PB76B,TRUE,,L4,PB76A,3,BDQS76,COMP3IP,True_OF_PB76B,TRUE,,L4,NC,-,-,-,-,-,,L4,NC,-,-,-,-,-
L5,PB60A,3,BDQS60,ADC_CP9,True_OF_PB60B,TRUE,,L5,PB60A,3,BDQS60,ADC_CP9,True_OF_PB60B,TRUE,,L5,PB62A,3,BDQS62,ADC_CP9,True_OF_PB62B,TRUE,,L5,PB62A,3,BDQS62,ADC_CP9,True_OF_PB62B,TRUE
L6,PB60B,3,BDQSN60,ADC_CN9,Comp_OF_PB60A,TRUE,,L6,PB60B,3,BDQSN60,ADC_CN9,Comp_OF_PB60A,TRUE,,L6,PB62B,3,BDQSN62,ADC_CN9,Comp_OF_PB62A,TRUE,,L6,PB62B,3,BDQSN62,ADC_CN9,Comp_OF_PB62A,TRUE
L7,PB66B,3,BDQ60,COMP1IN,Comp_OF_PB66A,TRUE,,L7,PB66B,3,BDQ60,COMP1IN,Comp_OF_PB66A,TRUE,,L7,PB56B,3,BDQ62,PCLKC3_0/ADC_CN5,Comp_OF_PB56A,TRUE,,L7,PB56B,3,BDQ62,PCLKC3_0/ADC_CN5,Comp_OF_PB56A,TRUE
L8,PB26A,4,BDQ22,-,True_OF_PB26B,TRUE,,L8,PB26A,4,BDQ22,-,True_OF_PB26B,TRUE,,L8,PB52A,4,BDQ46,PCLKT4_1,True_OF_PB52B,TRUE,,L8,PB52A,4,BDQ46,PCLKT4_1,True_OF_PB52B,TRUE
L9,PB30A,4,BDQ22,-,True_OF_PB30B,TRUE,,L9,PB30A,4,BDQ22,-,True_OF_PB30B,TRUE,,L9,PB50A,4,BDQ46,-,True_OF_PB50B,TRUE,,L9,PB50A,4,BDQ46,-,True_OF_PB50B,TRUE
