# Package Migration - Certus-NX CSFBGA121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 31-May-2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Rev 1.0 14-Mar-2025,,Updated the -40 and -28 pinouts information,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFD2NX-40,,,,,,,,LFD2NX-28,,,,,,,,LFD2NX-17,,,,,,,,LFD2NX-9,,,,,,
Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED,,Pin Number,Pad/Ball Function,BANK,DQS,CFG,LVDS,HIGHSPEED
C2,PR11B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR11A,FALSE,,C2,PR11B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR11A,FALSE,,C2,PR7B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR7A,FALSE,,C2,PR7B,1,-,SD2/SCL/USER_SCL,Comp_OF_PR7A,FALSE
C3,PT84B,0,-,-,Comp_OF_PT84A,FALSE,,C3,PT84B,0,-,-,Comp_OF_PT84A,FALSE,,C3,PT67B,0,-,S7_OUT,Comp_OF_PT67A,FALSE,,C3,PT67B,0,-,S7_OUT,Comp_OF_PT67A,FALSE
C4,PT74B,0,-,PROGRAMN,Comp_OF_PT74A,FALSE,,C4,PT74B,0,-,PROGRAMN,Comp_OF_PT74A,FALSE,,C4,PT57B,0,-,PROGRAMN,Comp_OF_PT57A,FALSE,,C4,PT57B,0,-,PROGRAMN,Comp_OF_PT57A,FALSE
C5,PT80B,0,-,MD2,Comp_OF_PT80A,FALSE,,C5,PT80B,0,-,MD2,Comp_OF_PT80A,FALSE,,C5,PT63B,0,-,MD2/SD6,Comp_OF_PT63A,FALSE,,C5,PT63B,0,-,MD2/SD6,Comp_OF_PT63A,FALSE
C6,VCCAUXA,-,-,-,-,-,,C6,VCCAUXA,-,-,-,-,-,,C6,VCCAUXA,-,-,-,-,-,,C6,VCCAUXA,-,-,-,-,-
C7,VSS,-,-,-,-,-,,C7,VSS,-,-,-,-,-,,C7,VSS,-,-,-,-,-,,C7,VSS,-,-,-,-,-
C8,SD0_REXT,80,-,-,-,FALSE,,C8,SD0_REXT,80,-,-,-,FALSE,,C8,NC,-,-,-,-,-,,C8,NC,-,-,-,-,-
C9,PT82A,0,-,MD3,True_OF_PT82B,FALSE,,C9,PT82A,0,-,MD3,True_OF_PT82B,FALSE,,C9,PT65A,0,-,MD3/SD7/OSC_BURST,True_OF_PT65B,FALSE,,C9,PT65A,0,-,MD3/SD7/OSC_BURST,True_OF_PT65B,FALSE
D1,PR13B,1,-,-,Comp_OF_PR13A,FALSE,,D1,PR13B,1,-,-,Comp_OF_PR13A,FALSE,,D1,PR9B,1,-,PMU_WAKEUPN/S4_OUT/EIO,Comp_OF_PR9A,FALSE,,D1,PR9B,1,-,PMU_WAKEUPN/S4_OUT/EIO,Comp_OF_PR9A,FALSE
D10,PT76B,0,-,DONE,Comp_OF_PT76A,FALSE,,D10,PT76B,0,-,DONE,Comp_OF_PT76A,FALSE,,D10,PT59B,0,-,DONE,Comp_OF_PT59A,FALSE,,D10,PT59B,0,-,DONE,Comp_OF_PT59A,FALSE
D11,PT76A,0,-,MCLK/PCLKT0_0,True_OF_PT76B,FALSE,,D11,PT76A,0,-,MCLK/PCLKT0_0,True_OF_PT76B,FALSE,,D11,PT59A,0,-,MCLK/PCLKT0_0,True_OF_PT59B,FALSE,,D11,PT59A,0,-,MCLK/PCLKT0_0,True_OF_PT59B,FALSE
D2,VCCIO1,1,-,-,-,-,,D2,VCCIO1,1,-,-,-,-,,D2,VCCIO1,1,-,-,-,-,,D2,VCCIO1,1,-,-,-,-
D3,VSS,-,-,-,-,-,,D3,VSS,-,-,-,-,-,,D3,VSS,-,-,-,-,-,,D3,VSS,-,-,-,-,-
D4,VCCIO0,0,-,-,-,-,,D4,VCCIO0,0,-,-,-,-,,D4,VCCIO0,0,-,-,-,-,,D4,VCCIO0,0,-,-,-,-
D5,PT80A,0,-,MISO/MD1,True_OF_PT80B,FALSE,,D5,PT80A,0,-,MISO/MD1,True_OF_PT80B,FALSE,,D5,PT63A,0,-,MISO/MD1/SD5,True_OF_PT63B,FALSE,,D5,PT63A,0,-,MISO/MD1/SD5,True_OF_PT63B,FALSE
D6,PT78B,0,-,MOSI/MD0,Comp_OF_PT78A,FALSE,,D6,PT78B,0,-,MOSI/MD0,Comp_OF_PT78A,FALSE,,D6,PT61B,0,-,MOSI/MD0/SD4,Comp_OF_PT61A,FALSE,,D6,PT61B,0,-,MOSI/MD0/SD4,Comp_OF_PT61A,FALSE
D7,PT78A,0,-,MCSN/PCLKT0_1,True_OF_PT78B,FALSE,,D7,PT78A,0,-,MCSN/PCLKT0_1,True_OF_PT78B,FALSE,,D7,PT61A,0,-,MCSN/PCLKT0_1,True_OF_PT61B,FALSE,,D7,PT61A,0,-,MCSN/PCLKT0_1,True_OF_PT61B,FALSE
D8,PT82B,0,-,MCSNO/MSDO,Comp_OF_PT82A,FALSE,,D8,PT82B,0,-,MCSNO/MSDO,Comp_OF_PT82A,FALSE,,D8,PT65B,0,-,MCSNO/MSDO/,Comp_OF_PT65A,FALSE,,D8,PT65B,0,-,MCSNO/MSDO/,Comp_OF_PT65A,FALSE
D9,VCCAUXH5,-,-,-,-,-,,D9,VCCAUXH5,-,-,-,-,-,,D9,VCCAUXH5,-,-,-,-,-,,D9,VCCAUXH5,-,-,-,-,-
E1,PR17A,1,-,PCLKT1_2,True_OF_PR17B,FALSE,,E1,PR17A,1,-,PCLKT1_2,True_OF_PR17B,FALSE,,E1,PR11B,1,-,PCLKT1_2/EIO,Comp_OF_PR11A,FALSE,,E1,PR11B,1,-,PCLKT1_2/EIO,Comp_OF_PR11A,FALSE
E10,PB4B,5,-,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB4A,TRUE,,E10,PB4B,5,-,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB4A,TRUE,,E10,PB16B,5,BDQ22,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB16A,TRUE,,E10,PB16B,5,BDQ22,CDR_RXN0/ADC_CN0/COMP1N,Comp_OF_PB16A,TRUE
E11,PB4A,5,-,VREF5_1/ADC_CP0/COMP1P,True_OF_PB4B,TRUE,,E11,PB4A,5,-,VREF5_1/ADC_CP0/COMP1P,True_OF_PB4B,TRUE,,E11,PB16A,5,BDQ22,CDR_RXP0/VREF5_1/ADC_CP0/COMP1P,True_OF_PB16B,TRUE,,E11,PB16A,5,BDQ22,CDR_RXP0/VREF5_1/ADC_CP0/COMP1P,True_OF_PB16B,TRUE
E2,PR15A,1,-,-,True_OF_PR15B,FALSE,,E2,PR15A,1,-,-,True_OF_PR15B,FALSE,,E2,PR11A,1,-,EIO,True_OF_PR11B,FALSE,,E2,PR11A,1,-,EIO,True_OF_PR11B,FALSE
E3,PR19A,1,-,PCLKT1_1,True_OF_PR19B,FALSE,,E3,PR19A,1,-,PCLKT1_1,True_OF_PR19B,FALSE,,E3,PR13A,1,-,PCLKT1_1/EIO,True_OF_PR13B,FALSE,,E3,PR13A,1,-,PCLKT1_1/EIO,True_OF_PR13B,FALSE
E4,VCC,-,-,-,-,-,,E4,VCC,-,-,-,-,-,,E4,VCC,-,-,-,-,-,,E4,VCC,-,-,-,-,-
E5,PB56B,3,BDQ60,ADC_CN7,Comp_OF_PB56A,TRUE,,E5,PB56B,3,BDQ60,ADC_CN7,Comp_OF_PB56A,TRUE,,E5,PB28B,5,BDQ22,-,Comp_OF_PB28A,TRUE,,E5,PB28B,5,BDQ22,-,Comp_OF_PB28A,TRUE
E6,PB56A,3,BDQ60,ADC_CP7,True_OF_PB56B,TRUE,,E6,PB56A,3,BDQ60,ADC_CP7,True_OF_PB56B,TRUE,,E6,PB28A,5,BDQ22,-,True_OF_PB28B,TRUE,,E6,PB28A,5,BDQ22,-,True_OF_PB28B,TRUE
E7,PB12A,5,-,PCLKT5_3,True_OF_PB12B,TRUE,,E7,PB12A,5,-,PCLKT5_3,True_OF_PB12B,TRUE,,E7,PB30A,5,BDQ22,PCLKT5_3,True_OF_PB30B,TRUE,,E7,PB30A,5,BDQ22,PCLKT5_3,True_OF_PB30B,TRUE
E8,VCCIO5,5,-,-,-,-,,E8,VCCIO5,5,-,-,-,-,,E8,VCCIO5,5,-,-,-,-,,E8,VCCIO5,5,-,-,-,-
E9,VSS,-,-,-,-,-,,E9,VSS,-,-,-,-,-,,E9,VSS,-,-,-,-,-,,E9,VSS,-,-,-,-,-
F1,PR20A,1,-,PCLKT1_0/EIO,True_OF_PR20B,FALSE,,F1,PR20A,1,-,PCLKT1_0/EIO,True_OF_PR20B,FALSE,,F1,PR13B,1,-,PCLKT1_0/EIO,Comp_OF_PR13A,FALSE,,F1,PR13B,1,-,PCLKT1_0/EIO,Comp_OF_PR13A,FALSE
F10,PB6B,5,-,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB6A,TRUE,,F10,PB6B,5,-,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB6A,TRUE,,F10,PB18B,5,BDQ22,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB18A,TRUE,,F10,PB18B,5,BDQ22,PCLKC5_0/CDR_RXN1/ADC_CN1/COMP2N,Comp_OF_PB18A,TRUE
F11,PB6A,5,-,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB6B,TRUE,,F11,PB6A,5,-,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB6B,TRUE,,F11,PB18A,5,BDQ22,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB18B,TRUE,,F11,PB18A,5,BDQ22,PCLKT5_0/CDR_RXP1/ADC_CP1/COMP2P,True_OF_PB18B,TRUE
